Option,1A,1B,1D,1E,1G,1I,1K,1L,,3F,3C,3H,3D,3K,3G,3J,3B,127,,,,,,,,,,
1,3E,3J,3I,3F,3H,3G,3L,3K,,1,0,1,0,1,1,1,0,0,,,,,,,,,,
2,3H,3G,3I,3D,3J,3F,3L,3K,,1,0,1,1,1,1,1,0,0,,,1A,1B,1D,1E,1G,1I,1K,1L
3,3E,3J,3I,3D,3H,3G,3L,3K,,0,0,1,1,1,1,1,0,0,,,3H,3G,3B,3C,3J,3F,3D,3K
4,3E,3J,3I,3D,3H,3F,3L,3K,,1,0,1,1,1,0,1,0,0,,,,,,,,,,
5,3E,3G,3I,3D,3J,3F,3L,3K,,1,0,0,1,1,1,1,0,0,,,,,,,,,,
6,3E,3G,3J,3D,3H,3F,3L,3K,,1,0,1,1,1,1,1,0,0,,,,,,,,,,
7,3E,3G,3I,3D,3H,3F,3L,3K,,1,0,1,1,1,1,0,0,0,,,,,,,,,,
8,3E,3G,3J,3D,3H,3F,3L,3I,,1,0,1,1,0,1,1,0,0,,,,,,,,,,
9,3E,3G,3J,3D,3H,3F,3I,3K,,1,0,1,1,1,1,1,0,0,,,,,,,,,,
10,3H,3G,3I,3C,3J,3F,3L,3K,,1,1,1,0,1,1,1,0,0,,,,,,,,,,
11,3E,3J,3I,3C,3H,3G,3L,3K,,0,1,1,0,1,1,1,0,0,,,,,,,,,,
12,3E,3J,3I,3C,3H,3F,3L,3K,,1,1,1,0,1,0,1,0,0,,,,,,,,,,
13,3E,3G,3I,3C,3J,3F,3L,3K,,1,1,0,0,1,1,1,0,0,,,,,,,,,,
14,3E,3G,3J,3C,3H,3F,3L,3K,,1,1,1,0,1,1,1,0,0,,,,,,,,,,
15,3E,3G,3I,3C,3H,3F,3L,3K,,1,1,1,0,1,1,0,0,0,,,,,,,,,,
16,3E,3G,3J,3C,3H,3F,3L,3I,,1,1,1,0,0,1,1,0,0,,,,,,,,,,
17,3E,3G,3J,3C,3H,3F,3I,3K,,1,1,1,0,1,1,1,0,0,,,,,,,,,,
18,3H,3G,3I,3C,3J,3D,3L,3K,,0,1,1,1,1,1,1,0,0,,,,,,,,,,
19,3C,3J,3I,3D,3H,3F,3L,3K,,1,1,1,1,1,0,1,0,0,,,,,,,,,,
20,3C,3G,3I,3D,3J,3F,3L,3K,,1,1,0,1,1,1,1,0,0,,,,,,,,,,
21,3C,3G,3J,3D,3H,3F,3L,3K,,1,1,1,1,1,1,1,0,0,,,,,,,,,,
22,3C,3G,3I,3D,3H,3F,3L,3K,,1,1,1,1,1,1,0,0,0,,,,,,,,,,
23,3C,3G,3J,3D,3H,3F,3L,3I,,1,1,1,1,0,1,1,0,0,,,,,,,,,,
24,3C,3G,3J,3D,3H,3F,3I,3K,,1,1,1,1,1,1,1,0,0,,,,,,,,,,
25,3E,3J,3I,3C,3H,3D,3L,3K,,0,1,1,1,1,0,1,0,0,,,,,,,,,,
26,3E,3G,3I,3C,3J,3D,3L,3K,,0,1,0,1,1,1,1,0,0,,,,,,,,,,
27,3E,3G,3J,3C,3H,3D,3L,3K,,0,1,1,1,1,1,1,0,0,,,,,,,,,,
28,3E,3G,3I,3C,3H,3D,3L,3K,,0,1,1,1,1,1,0,0,0,,,,,,,,,,
29,3E,3G,3J,3C,3H,3D,3L,3I,,0,1,1,1,0,1,1,0,0,,,,,,,,,,
30,3E,3G,3J,3C,3H,3D,3I,3K,,0,1,1,1,1,1,1,0,0,,,,,,,,,,
31,3C,3J,3E,3D,3I,3F,3L,3K,,1,1,0,1,1,0,1,0,0,,,,,,,,,,
32,3C,3J,3E,3D,3H,3F,3L,3K,,1,1,1,1,1,0,1,0,0,,,,,,,,,,
33,3C,3E,3I,3D,3H,3F,3L,3K,,1,1,1,1,1,0,0,0,0,,,,,,,,,,
34,3C,3J,3E,3D,3H,3F,3L,3I,,1,1,1,1,0,0,1,0,0,,,,,,,,,,
35,3C,3J,3E,3D,3H,3F,3I,3K,,1,1,1,1,1,0,1,0,0,,,,,,,,,,
36,3C,3G,3E,3D,3J,3F,3L,3K,,1,1,0,1,1,1,1,0,0,,,,,,,,,,
37,3C,3G,3E,3D,3I,3F,3L,3K,,1,1,0,1,1,1,0,0,0,,,,,,,,,,
38,3C,3G,3E,3D,3J,3F,3L,3I,,1,1,0,1,0,1,1,0,0,,,,,,,,,,
39,3C,3G,3E,3D,3J,3F,3I,3K,,1,1,0,1,1,1,1,0,0,,,,,,,,,,
40,3C,3G,3E,3D,3H,3F,3L,3K,,1,1,1,1,1,1,0,0,0,,,,,,,,,,
41,3C,3G,3J,3D,3H,3F,3L,3E,,1,1,1,1,0,1,1,0,0,,,,,,,,,,
42,3C,3G,3J,3D,3H,3F,3E,3K,,1,1,1,1,1,1,1,0,0,,,,,,,,,,
43,3C,3G,3E,3D,3H,3F,3L,3I,,1,1,1,1,0,1,0,0,0,,,,,,,,,,
44,3C,3G,3E,3D,3H,3F,3I,3K,,1,1,1,1,1,1,0,0,0,,,,,,,,,,
45,3C,3G,3J,3D,3H,3F,3E,3I,,1,1,1,1,0,1,1,0,0,,,,,,,,,,
46,3H,3J,3B,3F,3I,3G,3L,3K,,1,0,1,0,1,1,1,1,0,,,,,,,,,,
47,3E,3J,3I,3B,3H,3G,3L,3K,,0,0,1,0,1,1,1,1,0,,,,,,,,,,
48,3E,3J,3B,3F,3I,3H,3L,3K,,1,0,1,0,1,0,1,1,0,,,,,,,,,,
49,3E,3J,3B,3F,3I,3G,3L,3K,,1,0,0,0,1,1,1,1,0,,,,,,,,,,
50,3E,3J,3B,3F,3H,3G,3L,3K,,1,0,1,0,1,1,1,1,0,,,,,,,,,,
51,3E,3G,3B,3F,3I,3H,3L,3K,,1,0,1,0,1,1,0,1,0,,,,,,,,,,
52,3E,3J,3B,3F,3H,3G,3L,3I,,1,0,1,0,0,1,1,1,0,,,,,,,,,,
53,3E,3J,3B,3F,3H,3G,3I,3K,,1,0,1,0,1,1,1,1,0,,,,,,,,,,
54,3H,3J,3B,3D,3I,3G,3L,3K,,0,0,1,1,1,1,1,1,0,,,,,,,,,,
55,3H,3J,3B,3D,3I,3F,3L,3K,,1,0,1,1,1,0,1,1,0,,,,,,,,,,
56,3I,3G,3B,3D,3J,3F,3L,3K,,1,0,0,1,1,1,1,1,0,,,,,,,,,,
57,3H,3G,3B,3D,3J,3F,3L,3K,,1,0,1,1,1,1,1,1,0,,,,,,,,,,
58,3H,3G,3B,3D,3I,3F,3L,3K,,1,0,1,1,1,1,0,1,0,,,,,,,,,,
59,3H,3G,3B,3D,3J,3F,3L,3I,,1,0,1,1,0,1,1,1,0,,,,,,,,,,
60,3H,3G,3B,3D,3J,3F,3I,3K,,1,0,1,1,1,1,1,1,0,,,,,,,,,,
61,3E,3J,3B,3D,3I,3H,3L,3K,,0,0,1,1,1,0,1,1,0,,,,,,,,,,
62,3E,3J,3B,3D,3I,3G,3L,3K,,0,0,0,1,1,1,1,1,0,,,,,,,,,,
63,3E,3J,3B,3D,3H,3G,3L,3K,,0,0,1,1,1,1,1,1,0,,,,,,,,,,
64,3E,3G,3B,3D,3I,3H,3L,3K,,0,0,1,1,1,1,0,1,0,,,,,,,,,,
65,3E,3J,3B,3D,3H,3G,3L,3I,,0,0,1,1,0,1,1,1,0,,,,,,,,,,
66,3E,3J,3B,3D,3H,3G,3I,3K,,0,0,1,1,1,1,1,1,0,,,,,,,,,,
67,3E,3J,3B,3D,3I,3F,3L,3K,,1,0,0,1,1,0,1,1,0,,,,,,,,,,
68,3E,3J,3B,3D,3H,3F,3L,3K,,1,0,1,1,1,0,1,1,0,,,,,,,,,,
69,3E,3I,3B,3D,3H,3F,3L,3K,,1,0,1,1,1,0,0,1,0,,,,,,,,,,
70,3E,3J,3B,3D,3H,3F,3L,3I,,1,0,1,1,0,0,1,1,0,,,,,,,,,,
71,3E,3J,3B,3D,3H,3F,3I,3K,,1,0,1,1,1,0,1,1,0,,,,,,,,,,
72,3E,3G,3B,3D,3J,3F,3L,3K,,1,0,0,1,1,1,1,1,0,,,,,,,,,,
73,3E,3G,3B,3D,3I,3F,3L,3K,,1,0,0,1,1,1,0,1,0,,,,,,,,,,
74,3E,3G,3B,3D,3J,3F,3L,3I,,1,0,0,1,0,1,1,1,0,,,,,,,,,,
75,3E,3G,3B,3D,3J,3F,3I,3K,,1,0,0,1,1,1,1,1,0,,,,,,,,,,
76,3E,3G,3B,3D,3H,3F,3L,3K,,1,0,1,1,1,1,0,1,0,,,,,,,,,,
77,3H,3G,3B,3D,3J,3F,3L,3E,,1,0,1,1,0,1,1,1,0,,,,,,,,,,
78,3H,3G,3B,3D,3J,3F,3E,3K,,1,0,1,1,1,1,1,1,0,,,,,,,,,,
79,3E,3G,3B,3D,3H,3F,3L,3I,,1,0,1,1,0,1,0,1,0,,,,,,,,,,
80,3E,3G,3B,3D,3H,3F,3I,3K,,1,0,1,1,1,1,0,1,0,,,,,,,,,,
81,3H,3G,3B,3D,3J,3F,3E,3I,,1,0,1,1,0,1,1,1,0,,,,,,,,,,
82,3H,3J,3B,3C,3I,3G,3L,3K,,0,1,1,0,1,1,1,1,0,,,,,,,,,,
83,3H,3J,3B,3C,3I,3F,3L,3K,,1,1,1,0,1,0,1,1,0,,,,,,,,,,
84,3I,3G,3B,3C,3J,3F,3L,3K,,1,1,0,0,1,1,1,1,0,,,,,,,,,,
85,3H,3G,3B,3C,3J,3F,3L,3K,,1,1,1,0,1,1,1,1,0,,,,,,,,,,
86,3H,3G,3B,3C,3I,3F,3L,3K,,1,1,1,0,1,1,0,1,0,,,,,,,,,,
87,3H,3G,3B,3C,3J,3F,3L,3I,,1,1,1,0,0,1,1,1,0,,,,,,,,,,
88,3H,3G,3B,3C,3J,3F,3I,3K,,1,1,1,0,1,1,1,1,0,,,,,,,,,,
89,3E,3J,3B,3C,3I,3H,3L,3K,,0,1,1,0,1,0,1,1,0,,,,,,,,,,
90,3E,3J,3B,3C,3I,3G,3L,3K,,0,1,0,0,1,1,1,1,0,,,,,,,,,,
91,3E,3J,3B,3C,3H,3G,3L,3K,,0,1,1,0,1,1,1,1,0,,,,,,,,,,
92,3E,3G,3B,3C,3I,3H,3L,3K,,0,1,1,0,1,1,0,1,0,,,,,,,,,,
93,3E,3J,3B,3C,3H,3G,3L,3I,,0,1,1,0,0,1,1,1,0,,,,,,,,,,
94,3E,3J,3B,3C,3H,3G,3I,3K,,0,1,1,0,1,1,1,1,0,,,,,,,,,,
95,3E,3J,3B,3C,3I,3F,3L,3K,,1,1,0,0,1,0,1,1,0,,,,,,,,,,
96,3E,3J,3B,3C,3H,3F,3L,3K,,1,1,1,0,1,0,1,1,0,,,,,,,,,,
97,3E,3I,3B,3C,3H,3F,3L,3K,,1,1,1,0,1,0,0,1,0,,,,,,,,,,
98,3E,3J,3B,3C,3H,3F,3L,3I,,1,1,1,0,0,0,1,1,0,,,,,,,,,,
99,3E,3J,3B,3C,3H,3F,3I,3K,,1,1,1,0,1,0,1,1,0,,,,,,,,,,
100,3E,3G,3B,3C,3J,3F,3L,3K,,1,1,0,0,1,1,1,1,0,,,,,,,,,,
101,3E,3G,3B,3C,3I,3F,3L,3K,,1,1,0,0,1,1,0,1,0,,,,,,,,,,
102,3E,3G,3B,3C,3J,3F,3L,3I,,1,1,0,0,0,1,1,1,0,,,,,,,,,,
103,3E,3G,3B,3C,3J,3F,3I,3K,,1,1,0,0,1,1,1,1,0,,,,,,,,,,
104,3E,3G,3B,3C,3H,3F,3L,3K,,1,1,1,0,1,1,0,1,0,,,,,,,,,,
105,3H,3G,3B,3C,3J,3F,3L,3E,,1,1,1,0,0,1,1,1,0,,,,,,,,,,
106,3H,3G,3B,3C,3J,3F,3E,3K,,1,1,1,0,1,1,1,1,0,,,,,,,,,,
107,3E,3G,3B,3C,3H,3F,3L,3I,,1,1,1,0,0,1,0,1,0,,,,,,,,,,
108,3E,3G,3B,3C,3H,3F,3I,3K,,1,1,1,0,1,1,0,1,0,,,,,,,,,,
109,3H,3G,3B,3C,3J,3F,3E,3I,,1,1,1,0,0,1,1,1,0,,,,,,,,,,
110,3H,3J,3B,3C,3I,3D,3L,3K,,0,1,1,1,1,0,1,1,0,,,,,,,,,,
111,3I,3G,3B,3C,3J,3D,3L,3K,,0,1,0,1,1,1,1,1,0,,,,,,,,,,
112,3H,3G,3B,3C,3J,3D,3L,3K,,0,1,1,1,1,1,1,1,0,,,,,,,,,,
113,3H,3G,3B,3C,3I,3D,3L,3K,,0,1,1,1,1,1,0,1,0,,,,,,,,,,
114,3H,3G,3B,3C,3J,3D,3L,3I,,0,1,1,1,0,1,1,1,0,,,,,,,,,,
115,3H,3G,3B,3C,3J,3D,3I,3K,,0,1,1,1,1,1,1,1,0,,,,,,,,,,
116,3C,3J,3B,3D,3I,3F,3L,3K,,1,1,0,1,1,0,1,1,0,,,,,,,,,,
117,3C,3J,3B,3D,3H,3F,3L,3K,,1,1,1,1,1,0,1,1,0,,,,,,,,,,
118,3C,3I,3B,3D,3H,3F,3L,3K,,1,1,1,1,1,0,0,1,0,,,,,,,,,,
119,3C,3J,3B,3D,3H,3F,3L,3I,,1,1,1,1,0,0,1,1,0,,,,,,,,,,
120,3C,3J,3B,3D,3H,3F,3I,3K,,1,1,1,1,1,0,1,1,0,,,,,,,,,,
121,3C,3G,3B,3D,3J,3F,3L,3K,,1,1,0,1,1,1,1,1,0,,,,,,,,,,
122,3C,3G,3B,3D,3I,3F,3L,3K,,1,1,0,1,1,1,0,1,0,,,,,,,,,,
123,3C,3G,3B,3D,3J,3F,3L,3I,,1,1,0,1,0,1,1,1,0,,,,,,,,,,
124,3C,3G,3B,3D,3J,3F,3I,3K,,1,1,0,1,1,1,1,1,0,,,,,,,,,,
125,3C,3G,3B,3D,3H,3F,3L,3K,,1,1,1,1,1,1,0,1,0,,,,,,,,,,
126,3C,3G,3B,3D,3H,3F,3L,3J,,1,1,1,1,0,1,1,1,0,,,,,,,,,,
127,3H,3G,3B,3C,3J,3F,3D,3K,,1,1,1,1,1,1,1,1,127,,,,,,,,,,
128,3C,3G,3B,3D,3H,3F,3L,3I,,1,1,1,1,0,1,0,1,0,,,,,,,,,,
129,3C,3G,3B,3D,3H,3F,3I,3K,,1,1,1,1,1,1,0,1,0,,,,,,,,,,
130,3H,3G,3B,3C,3J,3F,3D,3I,,1,1,1,1,0,1,1,1,0,,,,,,,,,,
131,3E,3J,3B,3C,3I,3D,3L,3K,,0,1,0,1,1,0,1,1,0,,,,,,,,,,
132,3E,3J,3B,3C,3H,3D,3L,3K,,0,1,1,1,1,0,1,1,0,,,,,,,,,,
133,3E,3I,3B,3C,3H,3D,3L,3K,,0,1,1,1,1,0,0,1,0,,,,,,,,,,
134,3E,3J,3B,3C,3H,3D,3L,3I,,0,1,1,1,0,0,1,1,0,,,,,,,,,,
135,3E,3J,3B,3C,3H,3D,3I,3K,,0,1,1,1,1,0,1,1,0,,,,,,,,,,
136,3E,3G,3B,3C,3J,3D,3L,3K,,0,1,0,1,1,1,1,1,0,,,,,,,,,,
137,3E,3G,3B,3C,3I,3D,3L,3K,,0,1,0,1,1,1,0,1,0,,,,,,,,,,
138,3E,3G,3B,3C,3J,3D,3L,3I,,0,1,0,1,0,1,1,1,0,,,,,,,,,,
139,3E,3G,3B,3C,3J,3D,3I,3K,,0,1,0,1,1,1,1,1,0,,,,,,,,,,
140,3E,3G,3B,3C,3H,3D,3L,3K,,0,1,1,1,1,1,0,1,0,,,,,,,,,,
141,3H,3G,3B,3C,3J,3D,3L,3E,,0,1,1,1,0,1,1,1,0,,,,,,,,,,
142,3H,3G,3B,3C,3J,3D,3E,3K,,0,1,1,1,1,1,1,1,0,,,,,,,,,,
143,3E,3G,3B,3C,3H,3D,3L,3I,,0,1,1,1,0,1,0,1,0,,,,,,,,,,
144,3E,3G,3B,3C,3H,3D,3I,3K,,0,1,1,1,1,1,0,1,0,,,,,,,,,,
145,3H,3G,3B,3C,3J,3D,3E,3I,,0,1,1,1,0,1,1,1,0,,,,,,,,,,
146,3C,3J,3B,3D,3E,3F,3L,3K,,1,1,0,1,1,0,1,1,0,,,,,,,,,,
147,3C,3E,3B,3D,3I,3F,3L,3K,,1,1,0,1,1,0,0,1,0,,,,,,,,,,
148,3C,3J,3B,3D,3E,3F,3L,3I,,1,1,0,1,0,0,1,1,0,,,,,,,,,,
149,3C,3J,3B,3D,3E,3F,3I,3K,,1,1,0,1,1,0,1,1,0,,,,,,,,,,
150,3C,3E,3B,3D,3H,3F,3L,3K,,1,1,1,1,1,0,0,1,0,,,,,,,,,,
151,3C,3J,3B,3D,3H,3F,3L,3E,,1,1,1,1,0,0,1,1,0,,,,,,,,,,
152,3C,3J,3B,3D,3H,3F,3E,3K,,1,1,1,1,1,0,1,1,0,,,,,,,,,,
153,3C,3E,3B,3D,3H,3F,3L,3I,,1,1,1,1,0,0,0,1,0,,,,,,,,,,
154,3C,3E,3B,3D,3H,3F,3I,3K,,1,1,1,1,1,0,0,1,0,,,,,,,,,,
155,3C,3J,3B,3D,3H,3F,3E,3I,,1,1,1,1,0,0,1,1,0,,,,,,,,,,
156,3C,3G,3B,3D,3E,3F,3L,3K,,1,1,0,1,1,1,0,1,0,,,,,,,,,,
157,3C,3G,3B,3D,3J,3F,3L,3E,,1,1,0,1,0,1,1,1,0,,,,,,,,,,
158,3C,3G,3B,3D,3J,3F,3E,3K,,1,1,0,1,1,1,1,1,0,,,,,,,,,,
159,3C,3G,3B,3D,3E,3F,3L,3I,,1,1,0,1,0,1,0,1,0,,,,,,,,,,
160,3C,3G,3B,3D,3E,3F,3I,3K,,1,1,0,1,1,1,0,1,0,,,,,,,,,,
161,3C,3G,3B,3D,3J,3F,3E,3I,,1,1,0,1,0,1,1,1,0,,,,,,,,,,
162,3C,3G,3B,3D,3H,3F,3L,3E,,1,1,1,1,0,1,0,1,0,,,,,,,,,,
163,3C,3G,3B,3D,3H,3F,3E,3K,,1,1,1,1,1,1,0,1,0,,,,,,,,,,
164,3H,3G,3B,3C,3J,3F,3D,3E,,1,1,1,1,0,1,1,1,0,,,,,,,,,,
165,3C,3G,3B,3D,3H,3F,3E,3I,,1,1,1,1,0,1,0,1,0,,,,,,,,,,
